,"tunnel support
 pattern","face
No.","upper 
/
bottom","area
[m2]","progression
[m]","excavation 
volume
[m3]",date,"wg3,piece","wg3,kg","wg25,piece","wg25,kg","wg,kg","anfo,kg","f06,piece","fconnect,piece","eldet,piece",pyro1,pyro2,pyro3,pyro4,pyro5,pyro6,pyro7,pyro8,pyro9,pyro10,pyro12,pyro14,pyro16,pyro17,pyro18,pyro19,pyro20,pyro21,total,kg/m3,faceN
538,D_,686,upper & bottom,98.744,1.0,98.7,2021.7.12,0,0,246.0,24.6,0,84,8,8,1,9.0,11.0,12.0,15.0,12.0,13.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,96.0,0.85,686
539,D_,687,upper,98.744,1.0,98.7,2021.7.12,0,0,86.0,8.6,0,30,5,5,1,0.0,1.0,3.0,8.0,6.0,5.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,49.0,0.3,687
540,D_,688,upper & bottom,98.744,1.0,98.7,2021.7.13,0,0,426.0,42.6,0,71,8,8,1,10.0,12.0,12.0,15.0,15.0,10.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,100.0,0.72,688
541,D_,689,upper,98.744,1.0,98.7,2021.7.13,0,0,357.0,35.7,0,0,5,5,1,6.0,6.0,6.0,9.0,13.0,9.0,7.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,74.0,0,689
542,D_,690,upper & bottom,98.744,1.0,98.7,2021.7.13,0,0,400.0,40.0,0,75,8,8,1,10.0,12.0,12.0,15.0,11.0,11.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,0.76,690
543,D_,691,upper,98.744,1.0,98.7,2021.7.13,0,0,183.0,18.3,0,17,5,5,1,3.0,0.0,1.0,6.0,6.0,2.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,44.0,0.17,691
544,D_,692,upper & bottom,98.744,1.0,98.7,2021.7.14,0,0,568.0,56.8,0,21,8,8,1,10.0,12.0,12.0,15.0,15.0,9.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,98.0,0.21,692
545,D_,693,upper,98.744,1.0,98.7,2021.7.14,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,693
546,D_,694,upper & bottom,98.744,1.0,98.7,2021.7.14,0,0,341.0,34.1,0,0,6,6,1,10.0,12.0,10.0,14.0,12.0,13.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,0,694
547,D_,695,upper,98.744,1.0,98.7,2021.7.15,0,0,416.0,41.6,0,77,7,7,1,6.0,7.0,9.0,15.0,16.0,9.0,8.0,11.0,6.0,2.0,0,0,0,0,0,0,0,0,89.0,0.78,695
548,D_,696,upper & bottom,98.744,1.0,98.7,2021.7.15,0,0,294.0,29.4,0,0,5,5,1,6.0,6.0,6.0,10.0,8.0,11.0,7.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,72.0,0,696
